filiere_bac,note_maths,note_sciences,note_physique,note_langues,note_philo,interet_principal,niveau,orientation
PC,13.6,16.5,15.5,12.5,12.4,Santé,Lycée,Médecine
Lettres,14.8,10.6,9.4,16.4,11.4,Marketing,Université,Commerce
Economie,9.7,8.4,9.2,15.8,13.4,Voyage,Lycée,Langues
STM,13.5,12.7,15.2,11.3,9.4,Technologie,Lycée,Ingénierie
Lettres,13.3,11.0,9.5,15.4,12.8,Art,Lycée,Commerce
PC,19.5,14.5,16.7,12.1,10.6,Mécanique,Université,Ingénierie
SVT,15.6,11.9,13.4,11.3,10.4,Technologie,Université,Informatique
Economie,9.3,8.8,8.2,18.2,14.8,Culture,Université,Langues
Economie,10.8,7.1,9.0,15.9,14.2,Voyage,Lycée,Langues
PC,17.6,11.8,13.9,12.7,9.9,Programmation,Université,Informatique
PC,12.2,12.8,14.1,11.3,11.6,Construction,Université,Architecture
PC,16.7,12.7,13.7,10.8,11.2,Jeux vidéo,Université,Informatique
Economie,14.0,12.8,18.0,11.3,9.8,Technologie,Lycée,Ingénierie
Economie,8.5,7.4,6.6,16.9,14.8,Voyage,Lycée,Langues
SVT,8.3,8.8,7.8,14.8,17.6,Histoire,Lycée,Droit
Economie,6.0,8.8,10.0,17.9,14.3,Culture,Université,Langues
SVT,9.3,8.0,7.8,17.3,16.9,Histoire,Université,Droit
PC,16.4,17.1,15.8,13.3,11.7,Histoire,Lycée,Médecine
STM,13.0,10.2,13.8,10.5,11.8,Construction,Université,Architecture
Lettres,11.7,6.6,8.7,13.6,12.2,Business,Lycée,Commerce
Lettres,9.6,9.6,9.6,17.9,13.3,Culture,Lycée,Langues
SVT,9.5,10.6,7.0,16.0,17.4,Politique,Université,Droit
Lettres,9.2,14.2,10.3,13.1,18.2,Sciences humaines,Université,Psychologie
Lettres,9.5,13.3,8.8,13.9,16.5,Sciences humaines,Université,Psychologie
SVT,15.0,13.3,17.1,9.9,10.3,Technologie,Lycée,Ingénierie
Economie,12.1,9.8,9.8,17.8,12.0,Culture,Lycée,Langues
STM,16.7,14.6,13.3,8.4,9.0,Jeux vidéo,Lycée,Informatique
PC,15.6,11.8,14.3,11.0,11.7,Construction,Lycée,Architecture
SVT,15.4,10.8,15.0,12.4,9.6,Design,Université,Architecture
PC,15.3,18.3,15.9,12.8,10.9,Biologie,Université,Médecine
SVT,13.1,11.6,13.9,13.9,13.8,Finance,Lycée,Architecture
Lettres,8.8,10.1,7.5,15.9,15.3,Politique,Lycée,Droit
STM,14.6,14.5,15.4,12.5,11.4,Mécanique,Lycée,Ingénierie
PC,13.6,17.6,18.1,11.0,11.4,Biologie,Lycée,Médecine
SVT,11.3,11.4,8.7,13.9,15.2,Culture,Université,Langues
STM,16.1,9.7,16.2,10.0,11.1,Construction,Lycée,Ingénierie
PC,15.7,15.5,17.2,10.2,12.8,Sciences,Université,Médecine
Economie,8.7,12.1,7.1,14.7,14.1,Sciences humaines,Lycée,Psychologie
Economie,17.0,14.7,14.7,11.4,10.4,Programmation,Université,Informatique
STM,16.7,12.4,16.4,10.0,10.3,Mécanique,Université,Ingénierie
STM,11.0,12.9,14.0,11.6,12.5,Construction,Lycée,Architecture
Lettres,10.0,7.8,7.3,17.5,11.9,Culture,Lycée,Langues
SVT,9.6,8.4,7.1,16.8,13.8,Littérature,Lycée,Langues
SVT,16.4,13.0,13.5,10.8,12.0,Construction,Université,Architecture
Lettres,7.5,11.9,9.1,13.0,15.5,Philosophie,Lycée,Psychologie
SVT,14.6,17.7,15.4,12.9,10.2,Sciences,Lycée,Médecine
PC,15.7,18.1,15.2,12.2,11.8,Sciences,Lycée,Médecine
Lettres,9.8,7.8,8.1,15.6,12.3,Voyage,Lycée,Langues
Economie,9.5,5.4,7.5,18.8,13.0,Culture,Université,Langues
SVT,6.5,6.9,7.9,17.6,13.5,Littérature,Lycée,Langues
STM,18.5,14.1,13.4,10.4,9.9,Programmation,Université,Informatique
PC,14.5,17.7,14.3,12.6,12.2,Sciences,Université,Médecine
Lettres,11.4,14.6,7.1,13.9,15.3,Sciences humaines,Université,Psychologie
Lettres,10.8,14.8,10.0,12.4,14.7,Philosophie,Lycée,Psychologie
PC,12.7,11.7,9.3,13.7,12.9,Business,Lycée,Commerce
SVT,8.1,10.8,9.9,14.9,17.2,Politique,Université,Droit
PC,7.3,7.9,8.3,17.4,13.1,Littérature,Lycée,Langues
Economie,9.2,14.2,9.4,13.0,16.8,Philosophie,Lycée,Psychologie
STM,15.0,11.7,17.0,11.1,11.0,Construction,Université,Ingénierie
PC,13.6,14.4,18.9,9.6,11.6,Construction,Université,Ingénierie
PC,17.2,15.6,16.0,15.0,11.4,Biologie,Lycée,Médecine
STM,13.0,11.1,14.0,10.0,12.5,Mécanique,Lycée,Architecture
SVT,17.5,14.6,15.7,9.0,10.6,Programmation,Lycée,Informatique
STM,16.0,12.6,17.6,8.9,11.7,Business,Lycée,Ingénierie
PC,13.1,8.4,9.3,14.3,10.1,Marketing,Lycée,Commerce
SVT,14.8,17.4,15.6,12.7,14.9,Biologie,Lycée,Médecine
Lettres,10.7,8.5,8.0,12.5,13.9,Finance,Université,Commerce
Lettres,12.6,9.5,10.9,14.9,12.2,Finance,Université,Commerce
SVT,16.3,11.9,16.7,11.5,8.8,Littérature,Université,Ingénierie
PC,14.2,12.8,10.7,13.6,10.9,Design,Université,Architecture
Lettres,7.3,11.7,9.3,16.0,16.5,Histoire,Lycée,Droit
Economie,10.1,13.8,7.8,13.4,15.5,Philosophie,Lycée,Psychologie
SVT,14.5,13.2,16.6,10.2,9.4,Construction,Université,Ingénierie
SVT,14.1,17.1,18.7,10.4,11.8,Biologie,Lycée,Médecine
Lettres,9.7,10.6,7.9,14.9,14.3,Histoire,Université,Droit
SVT,16.8,16.1,18.0,9.1,11.3,Technologie,Université,Ingénierie
SVT,12.9,18.0,15.9,10.5,11.0,Sciences,Université,Médecine
Lettres,9.8,10.1,9.1,16.5,11.7,Culture,Université,Langues
Lettres,8.8,14.6,7.6,14.1,14.3,Sciences humaines,Université,Psychologie
Economie,8.7,10.2,8.1,14.8,15.4,Histoire,Lycée,Droit
Lettres,10.4,9.7,9.1,14.2,16.5,Politique,Lycée,Droit
PC,13.3,15.8,16.6,12.4,12.9,Santé,Lycée,Médecine
PC,15.3,16.6,16.3,13.4,12.5,Santé,Lycée,Médecine
SVT,6.7,8.9,9.1,16.2,15.4,Littérature,Université,Langues
SVT,13.9,18.0,17.0,14.9,11.5,Sciences,Université,Médecine
STM,14.1,14.6,16.2,9.5,10.1,Construction,Université,Ingénierie
Economie,10.1,10.2,10.0,15.2,18.6,Histoire,Université,Droit
PC,13.3,18.1,16.9,11.5,13.3,Sciences,Université,Médecine
Lettres,9.3,13.2,7.6,13.3,15.9,Sciences humaines,Université,Psychologie
Lettres,9.5,11.5,11.3,13.5,14.0,Sciences humaines,Lycée,Psychologie
Economie,12.8,8.7,9.7,14.0,12.6,Business,Lycée,Commerce
Lettres,12.6,10.0,7.3,15.8,13.1,Finance,Université,Commerce
SVT,15.0,13.3,16.7,10.0,10.4,Mécanique,Lycée,Ingénierie
Lettres,9.2,10.4,9.6,15.5,15.1,Justice,Lycée,Droit
Lettres,9.3,14.0,9.6,12.5,17.5,Santé,Université,Psychologie
SVT,9.4,12.7,8.8,15.1,15.7,Philosophie,Lycée,Psychologie
Lettres,9.3,9.0,7.9,18.3,14.5,Littérature,Université,Langues
SVT,6.5,9.6,8.8,17.2,14.6,Littérature,Lycée,Langues
SVT,13.2,11.6,13.2,11.2,12.0,Design,Lycée,Architecture
SVT,13.7,16.3,15.5,14.4,10.7,Biologie,Université,Médecine
SVT,8.1,9.2,8.5,17.5,13.2,Culture,Lycée,Langues
PC,16.6,13.7,16.2,11.0,9.1,Construction,Université,Ingénierie
PC,8.8,6.3,8.2,17.2,13.0,Voyage,Université,Langues
Economie,10.9,9.1,9.2,14.9,12.8,Marketing,Université,Commerce
Lettres,10.2,9.7,10.7,15.5,12.4,Business,Lycée,Commerce
PC,13.1,11.7,13.4,13.3,13.3,Construction,Lycée,Architecture
PC,16.1,14.8,13.7,10.1,10.4,Technologie,Lycée,Informatique
SVT,16.1,10.0,14.0,14.0,10.0,Technologie,Université,Informatique
SVT,6.7,7.9,9.1,17.8,15.1,Voyage,Lycée,Langues
SVT,17.0,12.1,16.3,9.6,8.4,Construction,Université,Ingénierie
PC,12.6,8.1,10.5,14.7,13.3,Finance,Université,Commerce
SVT,7.6,8.9,12.7,16.4,17.3,Politique,Lycée,Droit
PC,14.7,17.3,14.6,10.1,10.0,Biologie,Lycée,Médecine
STM,16.9,13.7,12.5,10.4,10.0,Technologie,Lycée,Informatique
PC,13.8,9.6,7.8,14.5,14.4,Business,Lycée,Commerce
Lettres,9.2,6.7,9.1,16.6,13.1,Marketing,Université,Langues
PC,10.8,11.0,9.0,15.4,11.7,Business,Lycée,Commerce
Lettres,9.8,5.3,7.5,18.2,14.0,Littérature,Université,Langues
Lettres,12.5,9.3,9.9,12.2,13.2,Business,Lycée,Commerce
SVT,15.6,16.1,17.3,10.5,11.7,Mécanique,Lycée,Ingénierie
SVT,17.3,13.4,13.3,10.2,9.7,Technologie,Lycée,Informatique
Economie,10.6,11.1,10.0,15.0,14.6,Histoire,Lycée,Droit
Lettres,9.3,11.4,10.2,13.6,15.3,Santé,Lycée,Psychologie
STM,16.0,11.4,14.9,12.2,12.2,Construction,Lycée,Architecture
SVT,9.3,8.5,8.1,17.3,14.1,Culture,Lycée,Langues
Economie,8.8,7.5,9.6,16.2,18.1,Justice,Lycée,Droit
SVT,19.1,13.5,14.3,12.0,10.6,Technologie,Lycée,Informatique
SVT,11.7,13.8,8.8,15.1,17.5,Philosophie,Lycée,Psychologie
Lettres,8.4,10.8,11.8,13.2,16.2,Justice,Université,Droit
Lettres,11.5,6.3,8.9,14.8,12.6,Art,Université,Commerce
Economie,11.3,11.8,7.8,15.4,15.8,Philosophie,Université,Psychologie
Lettres,8.1,12.9,10.2,13.7,14.7,Philosophie,Lycée,Psychologie
PC,15.4,15.8,13.3,11.7,9.7,Biologie,Lycée,Médecine
PC,13.6,12.2,13.0,10.9,9.7,Art,Lycée,Architecture
STM,16.9,15.3,20.0,9.3,10.6,Technologie,Lycée,Ingénierie
PC,14.8,11.7,13.2,12.0,10.2,Construction,Lycée,Architecture
STM,14.9,12.6,17.9,11.0,11.9,Construction,Lycée,Ingénierie
SVT,11.9,7.2,6.4,17.7,13.4,Littérature,Université,Langues
STM,12.2,13.1,12.7,11.4,12.4,Art,Lycée,Architecture
STM,15.4,10.5,16.5,12.6,10.8,Mécanique,Lycée,Ingénierie
Lettres,6.0,12.8,10.8,13.0,15.4,Santé,Lycée,Psychologie
SVT,8.1,9.2,9.7,16.3,15.8,Politique,Lycée,Droit
STM,14.2,14.8,16.3,11.9,10.1,Technologie,Université,Ingénierie
PC,14.7,8.2,8.2,15.8,10.5,Finance,Université,Commerce
Lettres,8.5,14.5,8.7,13.9,15.0,Santé,Lycée,Psychologie
SVT,7.0,10.0,9.1,16.1,13.9,Voyage,Lycée,Langues
Lettres,8.5,9.4,8.7,15.1,16.2,Politique,Université,Droit
Economie,10.4,7.7,7.2,15.6,17.7,Politique,Lycée,Droit
Lettres,11.7,8.9,7.7,14.7,12.6,Finance,Lycée,Commerce
SVT,16.1,16.1,14.0,11.9,11.3,Sciences,Lycée,Médecine
STM,13.3,11.5,13.7,11.2,11.9,Design,Université,Architecture
STM,17.8,12.2,11.9,10.6,10.1,Programmation,Lycée,Informatique
PC,16.3,15.3,14.3,9.3,11.5,Technologie,Université,Informatique
SVT,14.4,17.5,16.1,14.2,10.0,Biologie,Université,Médecine
Lettres,9.7,10.5,6.7,15.9,16.6,Politique,Lycée,Droit
SVT,13.6,13.7,17.5,10.9,9.9,Technologie,Université,Ingénierie
Economie,14.6,9.3,7.7,17.3,14.3,Finance,Lycée,Commerce
Lettres,8.9,10.1,8.2,16.5,16.2,Voyage,Université,Langues
Lettres,8.8,12.5,10.2,13.8,15.8,Technologie,Université,Psychologie
Lettres,11.3,10.2,9.6,14.4,11.2,Marketing,Lycée,Commerce
SVT,18.2,14.8,14.6,10.6,10.5,Jeux vidéo,Lycée,Informatique
PC,13.8,7.8,10.3,15.6,12.2,Business,Lycée,Commerce
SVT,15.9,18.8,15.0,11.9,13.2,Santé,Université,Médecine
SVT,16.4,15.4,12.8,11.1,9.3,Technologie,Lycée,Informatique
SVT,14.2,9.7,12.6,11.4,10.1,Biologie,Université,Architecture
STM,14.1,12.4,14.4,12.0,13.0,Construction,Lycée,Architecture
Economie,11.2,10.2,8.8,16.9,15.4,Politique,Université,Droit
STM,17.3,13.0,12.4,12.2,11.3,Jeux vidéo,Lycée,Informatique
Lettres,9.0,12.2,9.7,13.4,14.9,Sciences,Lycée,Psychologie
SVT,16.4,15.5,15.1,8.6,9.7,Technologie,Lycée,Informatique
Economie,14.0,17.1,15.8,11.4,12.3,Biologie,Université,Médecine
STM,17.0,11.1,14.0,10.0,11.4,Programmation,Lycée,Informatique
Lettres,12.7,11.4,8.7,15.2,13.4,Business,Université,Commerce
SVT,7.8,12.8,8.9,13.1,15.6,Philosophie,Université,Psychologie
SVT,7.9,9.9,8.4,15.0,17.6,Politique,Université,Droit
PC,14.5,17.9,16.0,11.4,11.0,Santé,Lycée,Médecine
PC,14.9,17.1,14.8,10.6,9.0,Sciences,Lycée,Médecine
Economie,9.1,9.6,8.1,14.9,17.1,Justice,Lycée,Droit
PC,13.9,14.1,17.3,11.2,10.3,Technologie,Université,Ingénierie
PC,18.0,12.3,15.4,11.0,13.0,Programmation,Lycée,Informatique
PC,10.7,9.8,7.8,15.1,8.8,Business,Université,Commerce
Economie,9.6,8.0,8.8,14.0,15.2,Politique,Lycée,Droit
SVT,9.1,14.5,8.6,14.9,15.3,Sciences humaines,Lycée,Psychologie
Economie,9.2,12.2,8.4,14.9,15.8,Sciences humaines,Lycée,Psychologie
SVT,13.9,17.6,15.8,11.6,12.1,Santé,Lycée,Médecine
PC,17.0,11.9,14.1,10.7,10.0,Voyage,Lycée,Informatique
Economie,9.3,11.0,7.7,17.6,12.3,Voyage,Université,Langues
SVT,16.1,17.9,16.2,13.8,11.4,Santé,Lycée,Médecine
SVT,9.5,14.5,8.9,13.7,15.9,Santé,Université,Psychologie
SVT,16.9,13.4,14.2,11.3,12.4,Sciences humaines,Lycée,Informatique
Economie,10.7,7.9,6.2,17.8,12.6,Voyage,Université,Langues
STM,11.8,12.0,14.7,11.6,13.2,Art,Université,Architecture
Economie,9.1,14.1,8.5,14.7,16.1,Philosophie,Lycée,Psychologie
SVT,14.8,16.7,15.0,12.4,11.9,Santé,Lycée,Médecine
SVT,10.2,10.6,8.2,14.5,16.9,Biologie,Université,Droit
SVT,16.9,11.6,18.8,11.1,11.6,Technologie,Université,Ingénierie
SVT,12.5,12.9,13.2,10.4,12.3,Art,Lycée,Architecture
PC,9.7,8.9,7.8,12.4,13.1,Marketing,Lycée,Commerce
Lettres,12.1,9.2,8.9,13.9,11.0,Marketing,Université,Commerce
Lettres,7.7,9.2,8.9,16.8,14.2,Finance,Lycée,Langues
SVT,10.6,9.9,8.8,17.0,13.5,Marketing,Université,Commerce
STM,14.8,13.7,15.6,13.3,10.0,Technologie,Université,Ingénierie
SVT,13.3,13.6,14.7,15.1,11.9,Art,Lycée,Architecture
STM,18.2,14.3,13.9,10.2,10.8,Design,Lycée,Informatique
SVT,17.9,13.2,18.0,9.0,11.0,Construction,Lycée,Ingénierie
SVT,10.2,11.0,8.8,12.9,15.2,Sciences humaines,Lycée,Psychologie
SVT,14.7,11.8,16.2,12.3,8.9,Technologie,Lycée,Ingénierie
SVT,10.9,14.4,13.7,10.1,10.7,Art,Lycée,Architecture
SVT,9.7,7.7,8.2,15.4,15.7,Politique,Lycée,Droit
SVT,14.8,16.2,14.8,12.9,11.1,Santé,Lycée,Médecine
SVT,9.5,8.0,8.8,15.0,16.5,Histoire,Université,Droit
SVT,14.5,17.5,16.0,10.3,10.8,Culture,Université,Médecine
SVT,13.5,14.5,13.5,13.3,11.8,Construction,Lycée,Architecture
Economie,8.6,10.1,8.5,14.2,18.4,Histoire,Lycée,Droit
SVT,12.3,8.7,10.9,14.8,10.5,Finance,Lycée,Commerce
PC,11.4,9.5,10.9,14.7,11.7,Finance,Lycée,Commerce
Lettres,9.4,13.7,10.7,12.0,14.5,Philosophie,Université,Psychologie
STM,11.9,12.4,12.7,11.6,12.4,Art,Université,Architecture
Economie,15.9,12.8,13.9,11.4,11.2,Programmation,Lycée,Informatique
STM,8.7,12.9,8.9,14.9,14.4,Voyage,Université,Psychologie
SVT,16.0,14.0,15.2,9.8,11.6,Technologie,Université,Informatique
Economie,8.9,8.2,9.4,18.1,15.6,Jeux vidéo,Université,Langues
Economie,9.7,10.0,8.5,14.7,17.0,Histoire,Université,Droit
SVT,8.6,10.4,8.2,15.6,13.6,Justice,Lycée,Langues
PC,12.1,16.8,15.0,10.6,11.3,Santé,Lycée,Médecine
SVT,16.3,13.2,14.4,11.1,13.5,Technologie,Lycée,Informatique
STM,17.0,12.8,14.9,11.6,8.3,Jeux vidéo,Lycée,Informatique
SVT,10.6,8.3,8.2,15.0,16.1,Histoire,Université,Droit
SVT,12.6,13.1,11.2,10.9,11.7,Art,Université,Architecture
SVT,8.2,13.6,10.5,14.3,15.2,Philosophie,Lycée,Psychologie
PC,12.1,15.8,15.8,12.9,12.6,Biologie,Lycée,Médecine
Lettres,8.2,7.8,8.2,17.0,14.5,Culture,Lycée,Langues
Lettres,9.3,12.9,9.6,14.0,15.6,Justice,Lycée,Psychologie
SVT,9.4,14.2,7.6,11.4,15.3,Sciences humaines,Université,Psychologie
PC,12.3,9.0,11.0,16.2,12.9,Finance,Université,Commerce
SVT,12.8,17.7,18.0,10.6,11.7,Santé,Lycée,Médecine
PC,13.8,11.3,13.8,13.2,11.7,Design,Université,Architecture
STM,17.2,14.4,15.1,12.2,11.1,Technologie,Lycée,Informatique
SVT,7.3,13.1,8.7,15.2,16.2,Santé,Lycée,Psychologie
SVT,14.7,13.1,13.2,12.6,12.3,Design,Lycée,Architecture
Economie,13.7,9.7,10.5,15.6,14.2,Marketing,Lycée,Commerce
PC,12.9,13.0,13.8,12.1,11.1,Art,Lycée,Architecture
STM,13.9,10.5,12.5,11.2,11.9,Art,Lycée,Architecture
STM,17.6,12.2,14.9,11.5,9.4,Jeux vidéo,Université,Informatique
SVT,16.9,16.1,15.4,12.7,13.0,Sciences,Université,Médecine
Economie,8.3,9.0,7.8,18.0,13.5,Littérature,Lycée,Langues
PC,18.0,11.1,14.7,10.6,8.5,Technologie,Lycée,Informatique
STM,14.1,13.9,13.6,9.8,13.3,Technologie,Université,Informatique
PC,14.5,10.8,12.8,11.4,9.1,Design,Université,Architecture
Lettres,8.0,7.2,8.7,16.4,12.5,Culture,Université,Langues
PC,16.1,10.5,13.6,10.5,11.8,Art,Université,Architecture
SVT,7.1,8.2,9.8,17.4,14.5,Voyage,Lycée,Langues
Economie,14.7,10.1,7.6,15.5,10.5,Marketing,Lycée,Commerce
PC,13.9,17.8,15.0,11.7,13.0,Voyage,Lycée,Médecine
PC,15.9,12.1,14.6,9.9,10.6,Programmation,Lycée,Informatique
Lettres,9.8,9.8,9.0,16.4,15.3,Voyage,Université,Langues
SVT,8.6,12.7,9.4,13.8,15.3,Sciences humaines,Lycée,Psychologie
PC,13.5,16.4,14.4,12.1,12.1,Biologie,Université,Médecine
Lettres,14.2,8.2,11.6,16.0,12.1,Business,Lycée,Commerce
SVT,15.3,14.8,13.7,12.3,8.2,Technologie,Lycée,Informatique
Lettres,9.0,14.4,8.1,13.7,16.3,Histoire,Lycée,Psychologie
STM,13.1,10.9,13.1,11.9,13.4,Art,Lycée,Architecture
STM,15.0,11.8,17.1,10.7,10.8,Mécanique,Université,Ingénierie
Economie,10.6,14.5,7.7,13.1,14.5,Philosophie,Lycée,Psychologie
SVT,10.8,10.8,11.0,17.6,17.4,Politique,Université,Droit
STM,14.2,11.5,11.9,10.8,12.0,Sciences humaines,Université,Architecture
SVT,16.2,13.3,17.4,11.9,9.9,Construction,Université,Ingénierie
SVT,17.3,13.5,13.0,11.1,10.7,Technologie,Lycée,Informatique
Economie,8.5,8.2,8.1,16.6,16.8,Justice,Université,Droit
Lettres,7.6,9.3,7.8,17.3,14.8,Voyage,Université,Langues
Economie,9.2,9.1,11.1,16.0,16.5,Justice,Lycée,Droit
SVT,16.5,12.7,17.3,10.1,12.3,Technologie,Lycée,Ingénierie
SVT,8.3,8.7,8.3,16.5,16.5,Histoire,Université,Droit
Lettres,13.0,7.9,9.0,15.0,13.1,Business,Lycée,Commerce
Lettres,9.9,9.4,7.5,17.1,14.7,Voyage,Lycée,Langues
Lettres,8.1,9.2,9.4,17.7,14.6,Culture,Université,Langues
Lettres,9.4,13.9,10.5,14.8,15.3,Santé,Lycée,Psychologie
SVT,10.1,8.8,10.4,15.9,15.1,Culture,Lycée,Langues
PC,17.7,10.9,13.2,12.1,10.4,Jeux vidéo,Lycée,Informatique
SVT,8.3,9.1,7.6,18.6,13.1,Littérature,Lycée,Langues
STM,17.7,15.6,13.6,9.8,8.5,Jeux vidéo,Lycée,Informatique
SVT,14.2,14.3,15.6,13.6,12.5,Design,Lycée,Médecine
PC,12.7,11.0,15.0,11.9,10.3,Art,Lycée,Ingénierie
Lettres,12.1,5.1,7.4,14.5,13.6,Marketing,Lycée,Commerce
SVT,9.7,12.1,8.5,14.2,16.2,Philosophie,Université,Psychologie
PC,11.9,10.3,8.7,17.6,9.2,Business,Lycée,Commerce
SVT,9.1,7.9,8.1,18.4,15.6,Voyage,Lycée,Langues
SVT,15.9,14.9,15.7,10.2,10.1,Mécanique,Lycée,Ingénierie
PC,14.7,16.7,14.9,12.8,10.3,Santé,Lycée,Médecine
PC,13.7,8.0,8.2,14.3,11.8,Marketing,Lycée,Commerce
Economie,10.1,8.4,10.3,15.5,14.6,Voyage,Université,Langues
Economie,9.6,9.9,7.3,15.1,12.1,Business,Université,Commerce
PC,12.8,18.0,17.0,11.3,12.0,Santé,Lycée,Médecine
SVT,8.9,9.7,8.2,18.8,12.9,Littérature,Université,Langues
SVT,14.4,17.5,16.1,12.2,12.5,Santé,Université,Médecine
PC,18.4,12.9,15.1,11.2,10.9,Jeux vidéo,Lycée,Informatique
PC,10.9,10.3,8.6,15.6,16.7,Histoire,Lycée,Droit
Lettres,7.9,13.6,7.7,14.0,18.6,Sciences humaines,Université,Psychologie
PC,14.0,11.1,14.1,11.1,11.3,Design,Université,Architecture
PC,13.0,16.0,15.2,13.4,8.7,Sciences,Lycée,Médecine
Lettres,9.4,11.3,10.1,14.1,14.6,Sciences humaines,Lycée,Psychologie
PC,17.0,12.7,18.3,10.5,7.9,Mécanique,Lycée,Ingénierie
Lettres,13.0,10.2,10.8,16.0,11.6,Business,Lycée,Commerce
Lettres,8.2,9.7,7.0,17.6,11.6,Voyage,Lycée,Langues
PC,17.4,17.3,15.7,13.3,10.8,Biologie,Lycée,Médecine
Lettres,7.7,13.7,7.3,13.7,16.0,Sciences humaines,Université,Psychologie
Lettres,8.4,7.7,11.1,18.0,16.5,Littérature,Lycée,Langues
STM,15.6,12.7,17.8,9.8,9.4,Construction,Lycée,Ingénierie
SVT,18.3,13.2,13.9,9.2,11.3,Technologie,Lycée,Informatique
SVT,13.9,16.3,17.7,12.0,13.7,Santé,Université,Médecine
STM,12.4,12.2,15.0,10.9,13.1,Construction,Université,Architecture
SVT,9.1,11.0,6.9,17.3,12.8,Culture,Université,Langues
STM,17.1,12.9,14.7,13.8,11.0,Finance,Lycée,Informatique
Economie,11.4,6.6,10.8,15.4,12.9,Finance,Université,Commerce
Lettres,7.6,15.3,7.1,12.3,17.1,Sciences humaines,Université,Psychologie
Lettres,9.6,9.2,8.7,17.2,13.9,Voyage,Université,Langues
SVT,14.8,9.6,12.9,11.7,13.0,Design,Lycée,Architecture
Lettres,9.9,7.4,10.2,14.8,15.9,Politique,Lycée,Droit
SVT,14.0,17.4,16.6,10.2,11.8,Biologie,Université,Médecine
SVT,12.3,18.0,17.2,10.4,13.1,Biologie,Lycée,Médecine
SVT,15.4,11.4,15.8,10.8,10.2,Technologie,Lycée,Ingénierie
SVT,16.4,13.7,15.5,11.9,10.4,Construction,Université,Informatique
Lettres,12.4,10.7,7.7,15.2,13.5,Marketing,Université,Commerce
SVT,14.0,16.6,17.7,11.0,9.1,Sciences,Lycée,Médecine
